messages,labels
"yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only get bus8,22,65,61,66,382 . ubi cre ubi tech park.6ph for 1st 5wkg days.èn",ham
hey tmr maybe can meet you at yck,ham
oh ... i ask for fun . haha ... take care . ü,ham
we be suppose to meet to discuss abt our trip ... thought xuhui tell you ? in the afternoon . thought we can go for lesson after that,ham
i can . but it will tell quite long cos i have n't finish my film yet ...,ham
haha ... can ... but i be have dinner with my cousin ...,ham
oh ... kay ... on sit right ?,ham
i need ... coz i never go before,ham
hey next sun 1030 there be a basic yoga course ... at bugis ... we can go for that ... pilate intro next sit .... tell i what time you r free,ham
i be go to sao mu today . will be do only at 12,ham
hey gal ... u all wan na meet 4 dinner at nìte ?,ham
jos ask if u wana meet up ?,ham
haiyoh ... maybe your hamster be jealous of million,ham
be your hamster dead ? hey so tmr i meet you at 1 pm orchard mrt ?,ham
hey i 've book the pilate and yoga lesson already ... haha,ham
yup ... i have nt be there before ... you want to go for the yoga ? i can call up to book,ham
k ... must book a not huh ? so go for yoga basic on sunday ?,ham
hey so this sit be we go for the intro pilate only ? or the kickboxing too ?,ham
sat right ? okay thank ...,ham
yup ... from what i remb ... i think should be can book ...,ham
book which lesson ? then you msg i ... i will call up after work or sth ... i be go to get spec . my membership be px3748,ham
we can go 4 e normal pilate after our intro ...,ham
sun ah ... thk mayb can if dun have anythin on ... thk have to book e lesson ... e pilate be at orchard mrt u noe hor ...,ham
thk shld b can ... ya i wana go 4 lesson ... haha can go for one whole stretch ...,ham
sound gd ... haha ... can ... wah u yan jiu so fast liao ...,ham
wah ... okie okie ... muz make use of e unlimited ... haha ...,ham
kaiez ... enjoy ur tuition ... gee ... thk e second option sound beta ... i 'll go yan jiu den msg u ...,ham
k .. i yan jiu liao ... sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb . sun can go cine frm 1030 to 2 den hop to orc mrt 4 hip hop at 4 ...,ham
okie ... i 'll go yan jiu too ... we can skip ard oso go cine den go mrt one blah blah blah ...,ham
nope ... juz off from work ...,ham
oh oh ... waste ... den muz chiong on sat n sun liao ...,ham
haha ... sound crazy dunno can tahan anot ...,ham
hmmm .. thk sure get time to hop ard ... ya can go 4 free abt ... muz call u to discuss liao ...,ham
oh ... i be thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb ... okie lor u call i when ready ...,ham
after my work ah ... den 6 plus lor ... u workin oso rite ... den go orchard lor no other place to go liao ...,ham
aiyo ... u always c our ex one ... i dunno abt mei she haven reply ... first time u reply so fast ... y so lucky not workin huh got bao by ur sugardad ah ... gee ..,ham
ya i be referin to mei 's ex wat ... no ah waitin 4 u to treat somebody shld b rich liao ... so gd den u dun have to work frm tmr onwards ...,ham
oh oh ... den muz change plan liao ... go back have to yan jiu again ...,ham
hey ... thk we juz go accordin to wat we discuss yest lor except no kb on sun ... cos there be nt much lesson to go if we attend kb on sit ...,ham
den wat will e schedule b lk on sun ?,ham
eh den sit u book e kb liao huh ...,ham
yup ... hey then one day on fri we can ask miwa and jiayin take leave go karaoke,ham
yup ... ok i go home look at the timing then i msg ü again ... xuhui go to learn on 2nd may too but her lesson be at 8am,ham
hey i book the kb on sit already ... what other lesson be we go for ah ? keep your sat night free we need to meet and confirm our lodging,ham
hey ... be you go to quit soon ? xuhui and i work till end of the month,ham
oh ya ... get hip hop open . haha i be think can go for jazz then zoom to cine ... actually tonight i be free leh ... and there be a kb lesson tonight,ham
hey so what s the plan this sit ?,ham
can ü call i at 10:10 to make sure dat i 've wake up ...,ham
hey i will be late ah ... meet you at 945+,ham
hey tmr meet at bugis 930 ?,ham
ha ... then we must walk to everywhere ... can not take tram . my cousin say can walk to vic market from our hotel,ham
haha ... yup hopefully we will lose a few kg by mon . after hip hop can go orchard and weigh again,ham
hey i 've book the 2 lesson on sun liao ...,ham
hmmm ... guess we can go 4 kb n power yoga ... haha dunno we can tahan power yoga anot ... thk get lo oso forgot liao ...,ham
oh ... okie lor ... we go on sit ...,ham
oh ... haha ... den we shld have go today too ... gee nvm la ... kaiez i dun mind goin jazz oso ... scared hiphop open ca nt catch up ...,ham
i dun thk i 'll quit yet ... hmmm can go jazz ? yogasana oso can ... we can go meet em after our lesson den ...,ham
aiyo ... her lesson so early ... i be still sleepin haha ... okie u go home liao den confirm w i lor ...,ham
i be nt goin get somethin on unless they meetin 4 dinner lor ... haha i wonder who will go tis time ...,ham
wa ur openin sentence very formal ... anyway i be fine too juz tt i be eatin too much n puttin on weight ... haha ... so anythin special happened ?,ham
thk some of em find wtc too far ... weiyi not goin ... e rest i dunno yet ... r ur goin 4 dinner den i might b able to join ...,ham
i be eatin now lor but goin back to work soon ... e mountain deer show huh ... i watch b4 liao very nice ...,ham
goin to workout lor ... muz lose e fat ...,ham
yupz ... i 've oredi book slot 4 my weekend liao ...,ham
i noe la ... u wana pei bf oso rite ... k lor other day den ...,ham
u meet other fren dun wan meet i ah ... muz b a guy rite ...,ham
oh ... icic ... k lor den meet other day ...,ham
haha ... where get so fast lose weight thk muz go 4 a month den get effect ... gee later we go aust put bk e weight .,ham
u attend ur driving lesson how many time a wk n which day ?,ham
ay wana meet on sat ? ü wkg on sat ?,ham
shop ? eh ger i toke abt syd leh ... haha,ham
it be é only $ 140 ard ... é rest all ard $ 180 at least ... which be é price 4 é 2 bedrm ( $ 900 ),ham
hmm ... bad news ... hype park plaza $ 700 studio take ... only leave 2 bedrm- $ 900 ...,ham
okay ... i book all already ... include the one at bugis .,ham
yun ah.now ü wkg where ? btw if ü go nus sc . ü wana specialise in wad ?,ham
hey you still want to go for yogasana ? coz if we end at cine then can go bathe and hav the steam bath,ham
hey we can go jazz power yoga hip hop kb and yogasana,ham
can meh ? thgt some will clash ... really ah i dun mind ... i dun see to have lose any weight ... gee ...,ham
oh ... lk tt den we take e one tt end at cine lor ... dun wan yogasana oso can ...,ham
wa ... u so efficient ... gee ... thanx ...,ham
hmmm .... mayb can try e shoppin area one but forget e name of hotel ...,ham
huh ... hyde park not in mel ah opp get confused ... anyway if tt 's e good choice den we juz have to take it ...,ham
i only work from mon to thur but sat i ca nt leh ... book liao ... which other day u free ?,ham
until 545 lor ... ya can go 4 dinner together ...,ham
mon okie lor ... haha good be cheap n gd food la ex oso okie ... depend on whether wana eat western or chinese food ... den which u prefer ...,ham
chinatown get porridge claypot rice yam cake fishhead beehoon ... either we eat cheap den go cafe n tok or go nydc or somethin ...,ham
today i be not workin but not free oso ... gee ... thgt u workin at ur fren 's shop ?,ham
my fri ah ... okie lor goin 4 my drivin den go shoppin after tt ...,ham
hey ... great deal ... farm tour 9 am to 5 pm $ 95 / pax $ 50 deposit by 16 may,ham
haha but no money leh ... later get to go for tuition ... haha and look for empty slot for drive lesson,ham
my tuition be at 330 . hm we go for the 1120 to 1205 one ? do you mind ?,ham
hey ... what time be your driving on fri ? we go for evaluation on fri ?,ham
nvm ... i be go to wear my sport shoe anyway ... i be go to be late leh .,ham
hey be we go for the lo lesson or gym ?,ham
okay ... we wait ah,ham
hey come online ! use msn ... we be all there,ham
oh yah ... we never cancel leh ... haha,ham
k. do you call i just now ah ?,ham
okay lor ... wah ... like that def they wo nt let we go ... haha ... what do they say in the term and conditions ?,ham
okay lor ... will they still let we go a not ah ? coz they will not know until later . we drop our card into the box right ?,ham
you want to go ?,ham
kay ... since we be out already,ham
haha okay ... today weekend leh ...,ham
haha ... they ca nt what ... at the most tmr forfeit ... haha so how ?,ham
hey ... why do nt we just go watch x man and have lunch ... haha,ham
haha ... really oh no ... how ? then will they deduct your lesson tmr ?,ham
hey i will be really pretty late ... you want to go for the lesson first ? i will join you . i be only reach tp mrt,ham
yunny ... i be goin to be late,ham
ya ! when be ü take ure practical lesson ? i start in june ..,ham
hey ... very inconvenient for your sis a not huh ?,ham
hey i will be late ... i be at amk . need to drink tea or coffee,ham
hey you give they your photo when you register for drive ah ? tmr wan na meet at yck ?,ham
ok ... the theory test ? when be ü go to book ? i think it be on 21 may . coz thought wan na go out with jiayin . but she be nt free,ham
haha ... do nt be angry with yourself ... take it as a practice for the real thing . = ),ham
haha ... hope ü can hear the receipt sound ... gd luck !,ham
huh ? 6 also can not ? then only how many mistakes ?,ham
nope ... think i will go for it on monday ... sorry i reply so late,ham
hey .. something come up last min .. think i wun be sign up tmr .. hee,ham
i be think of go down to reg for pract lesson .. flung my advance .. haha wat time u going ?,ham
hey gal .. anyone of u go down to e drive centre tmr ?,ham
ok no prob,ham
nope i wait in sch 4 daddy ...,ham
dunno lei he neva say ...,ham
ü call dad oredi ...,ham
i hungry buy some food good lei ... but mum n yun dun wan juz buy a little bit ...,ham
dad go out oredi ...,ham
ü still attend da talks ?,ham
then she buy today ? ü no need to c meh ...,ham
yup i be free ...,ham
nope ... c ü then ...,ham
be fujitsu s series lifebook good ?,ham
be toshiba portege m100 gd ?,ham
yun buying ... but school got offer 2000 plus only ...,ham
get fujitsu ibm hp toshiba ... got a lot of model how to say ...,ham
okie ... thanx ...,ham
how come i din c ü ... yup i cut my hair ...,ham
no wonder ... cos i dun rem see a silver car ... but i thk i see a black one ...,ham
guai ... ü shd haf see he when he be naughty ... ü so free today ? can go jog ...,ham
ok ... c ya ...,ham
nope i be not drivin ... i neva develop da photo lei ...,ham
i wan but too early lei ... i outside now wun b home so early ... neva mind then ...,ham
645,ham
ü dun need to pick ur gf ?,ham
okie ...,ham
i be at home n ready ...,ham
ok ...,ham
dunno lei ... i thk mum lazy to go out ... i neva ask she yet ...,ham
mum say we wan to go then go ... then she can shun bian watch da glass exhibition ...,ham
dun need to use dial up juz open da browser n surf ...,ham
when do i use soc ... i use it only at home ... ü dunno how 2 type it in word ar ...,ham
can a not ?,ham
juz go google n search 4 qet ...,ham
wat time r ü go to xin 's hostel ?,ham
ok ...,ham
huh mean computational science ... y they like dat one push here n there ...,ham
i not at home now lei ...,ham
eatin my lunch ...,ham
ü takin linear algebra today ?,ham
ü bot note oredi ... cos i juz rem i get ...,ham
wah lucky man ... then can save money ... hee ...,ham
y so late but i need to go n get da laptop ...,ham
where to get those ?,ham
then ca nt get da laptop ? my matric card wif ü lei ...,ham
i dunno they close oredi not ... ü v ma fan ...,ham
hi dis be yijue i would be happy to work wif ü all for gek1510 ...,ham
ü comin to fetch we oredi ...,ham
got small capacity one ? quite ex ...,ham
ok thanx ...,ham
wat ü do now ?,ham
get meh ... when ?,ham
ü neva tell i how i noe ... i be not at home in da aft wat ...,ham
mum ask ü to buy food home ...,ham
leave it wif i lar ... ü wan to carry meh so heavy ... be da num 98321561 familiar to ü ?,ham
i tot it be my group mate ... lucky i have nt reply ... wat time do ü need to leave ...,ham
yup he msg i : be tat yijue ? then i tot it be my group mate cos we meet today mah ... i be askin if ü leave early or wat mah cos mayb ü haf to walk v far ...,ham
yup ...,ham
i be stuck in da middle of da row on da right hand side of da lt ...,ham
black shirt n blue jean ... i thk i c ü ...,ham
not directly behind ... abt 4 row behind ü ...,ham
ü go home liao ? ask dad to pick i up at 6 ...,ham
i be do oredi ...,ham
i wait 4 ü inside da car park ...,ham
yup ... how ü noe leh ...,ham
oic ... i see he too but i tot he din c i ... i find a group liao ...,ham
aiyo a bit pai seh ü noe ... scared he dun rem who i be then die ... hee ... but he become well lookin oredi leh ...,ham
how i noe ... do ü specify da domain as nusstu ... ü still in sch ...,ham
when ü login dat time ... dad fetch ü home now ?,ham
i come n pick ü up ... come out immediately aft ur lesson ...,ham
eh ur laptop get no stock lei ... he say mon muz come again to take a look c get a not ...,ham
ü ready then call i ...,ham
ü still get lesson ? ü in sch ?,ham
shall i get my pouch ?,ham
i be on da bus go home ...,ham
i be at bugis juz now wat ... but now i be walk home oredi ... ü so late then reply ... i oso see a top dat i like but din buy ... where r ü now ?,ham
still at west coast ... haiz ... ü 'll take forever to come back ...,ham
r ü comin back for dinner ?,ham
eat at old airport road ... but now 630 oredi ... got a lot of pple ...,ham
y bishan lei ... i tot ü say lavender ?,ham
free any day but i finish at 6 on mon n thur ...,ham
i prefer my free day ... tue we d fri oso can ... ü ask those workin lor ...,ham
but we have nt get da topic yet rite ?,ham
so can collect ur laptop ?,ham
ok good then i later come find ü ... c lucky i tell ü to go early ... later pple take finish ü no more again ...,ham
eat jap do oso aft ur lect wat ... ü get lect at 12 rite ...,ham
so ü pay first lar ... then when be da stock comin ...,ham
what be ur pin ?,ham
ü collect ur laptop then go to configure da setting izzit ?,ham
cos daddy arrange time c wat time fetch ü mah ...,ham
juz now have nt wake up so a bit blur blur ... can ? dad go out liao ... i ca nt cum now oso ...,ham
so li hai ... i bore now da lecturer repeat last week stuff waste time ...,ham
how i noe ... she be in da car now ... later then c lar ... i be wear short ...,ham
huh y lei ...,ham
ü eatin later but i be eatin wif my fren now lei ... ü go home first ?,ham
have nt still waitin as usual ... ü come back sch oredi ?,ham
no break time one ... how ... i come out n get my stuff fr ü ?,ham
tmr then ü brin lar ... aiya later i come n c lar ... mayb ü neva set properly ü get da help sheet wif ü ...,ham
i dunno lei ... like dun haf ...,ham
i be go out to buy mum 's present ar .,ham
have nt shop now lor i juz arrive only,ham
beauty sleep can help ur pimple too .,ham
up to ü ... ü wan come then come lor ... but i din c any stripe skirt ...,ham
then mum 's repent how ?,ham
get c ... i lazy to type ... i forget ü in lect ... i see a pouch but like not v nice ...,ham
ok i find di pierre cardin one which look normal cost 20 its on sale .,ham
y ü wan to go there ? c doctor ?,ham
i be wif he now buy tix lar ...,ham
how much r ü willing to pay ?,ham
hi this be yijue ... it be regard the 3230 textbook it be intro to algorithm second edition ... i be sell it for $ 50 ...,ham
i 'll be in sch fr 4 - 6 ... i dun haf da book in sch ... it be at home ...,ham
ok ... thanx ... gd nite 2 ü too ...,ham
wat uniform ? in where get ?,ham
yup i 've finish c ü there ...,ham
never y lei ... i v lazy ... got wat ? dat day ü send i da url ca nt work one ...,ham
we be do ...,ham
anything lar ...,ham
go where n buy ? juz buy when we get there lar .,ham
bishan lar near ... no need buy so early cos if buy now i get ta park my car ...,ham
do u noe how 2 send file between 2 computers ?,ham
i got ta collect da car at 6 lei .,ham
2 laptop ... i noe infra but too slow lar ... i wan fast one,ham
dunno da next show aft 6 be 850 . toa payoh get 650.,ham
tmr timin still da same wat cos i get lesson until 6 ...,ham
wat time ü wan today ?,ham
aiya we discuss later lar ... pick ü up at 4 be it ?,ham
i be in a movie ... collect car oredi ...,ham
i anything lor ...,ham
nothin come to my mind . ü help i buy hanger lor . ur laptop not heavy ?,ham
ok lor wat time ü finish ?,ham
huh but i get lesson at 4 lei n i be thinkin of go to sch early n i tot of parkin at kent vale ...,ham
ü v ma fan ...,ham
ü come lt 25 n pass to i lar,ham
y lei ?,ham
i want to ask ü to wait 4 i to finish lect . cos my lect finish in an hour anyway .,ham
aiyo cos i sm ü then ü neva reply so i wait 4 ü to reply lar . i tot ü have nt finish ur lab wat .,ham
auntie huai juan never pick up her phone,ham
i not free today i haf 2 pick my parent up tonite ...,ham
ok ..,ham
dunno lei ... i might b eatin wif my fren ... if ü wan to eat then i wait 4 ü lar,ham
how come ?,ham
then ü ask dad to pick ü up lar ... ü wan 2 stay until 6 meh ...,ham
oh ok wait 4 i there ... my lect have nt finish,ham
i be do ...,ham
in da car park,ham
ü log off 4 wat . it be sdryb8i,ham
ü thk of wat to eat tonight .,ham
aiyo please ü get time meh .,ham
can ... i be free ...,ham
ok .,ham
anything lor . juz both of we lor .,ham
ok c ü then .,ham
i 'll be late ...,ham
kent vale lor ... ü wait 4 i there ar ?,ham
ard 530 lor . i ok then message ü lor .,ham
i be do . c ü there .,ham
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
dunno lei shd b drive lor cos i go sch 1 hr oni .,ham
ü wait 4 i in sch i finish ard 5 ..,ham
ok can ...,ham
ü dun wan to watch infernal affair ?,ham
cos darren say ü consider mah so i ask ü ...,ham
ü mean it be confirm ... i tot they juz say oni ... ok then ...,ham
i n he so funny ...,ham
anything lor be she coming ?,ham
ok lor . i be in town now lei .,ham
with my sis lor ... we juz watch italian job .,ham
c movie be juz last minute decision mah . juz watch 2 lar but i tot ü not interested .,ham
wat so late still early mah . or we juz go 4 dinner lor . aiya i dunno ...,ham
if i not meet ü all rite then i 'll go home lor . if ü dun feel like comin it be ok .,ham
can ü all decide fast cos my sis go home liao ..,ham
yup ü not comin : - (,ham
he neva grumble but i sad lor ... hee ... buy tmr lor aft lunch . but we still meetin 4 lunch tmr a not . neva hear fr they lei . ü get a lot of work ar ?,ham
i jokin oni lar .. ü busy then i wun disturb ü.,ham
ok lor ...,ham
i be in a movie . call i 4 wat ?,ham
r ü go 4 today 's meeting ?,ham
do ü noe if ben be going ?,ham
dunno lei ü all decide lor . how abt leona ? oops i tot ben be go n i msg he .,ham
neva mind it be ok ..,ham
so wat 's da decision ?,ham
then ü wait 4 i at bus stop aft ur lect lar . if i dun c ü then i go get my car then come back n pick ü.,ham
ok i juz receive ..,ham
i borrow ur bag ok .,ham
can . dunno wat to get 4 she ...,ham
ok . but i finish at 6.,ham
i thk ü get ta go home by urself . cos i 'll b go out shop 4 my fren present .,ham
or i go home first lar ü wait 4 i lor .. i put down my stuff first ..,ham
ü predict wat time ü 'll finish buying ?,ham
ok ... but bag again ..,ham
i only haf msn . it be yijue @ hotmail.com,ham
i be in school now n i 'll be in da lab do some stuff give i a call when ü r do .,ham
anything lar then ü not go home 4 dinner ?,ham
when can ü come out ?,ham
i have nt lei .. next mon can ?,ham
that day ü say ü cut ur hair at paragon be it call hair sense ? do ü noe how much be a hair cut ?,ham
dunno i juz askin cos i get a card get 20 % off 4 a salon call hair sense so i tot it be da one ü cut ur hair .,ham
yup it be at paragon ... i have nt decide whether 2 cut yet ... hee ...,ham
ok lor but not too early . i still have project meeting now .,ham
ard 6 like dat lor .,ham
i not busy juz dun wan 2 go so early .. hee ..,ham
okie ü wan meet at bishan ? cos i at bishan now . i be not drive today .,ham
do project w fren lor .,ham
i be not come home 4 dinner .,ham
ard 530 like dat lor . we juz meet in mrt station then ü dun haf to come out .,ham
ok lor ü reach then message i .,ham
happy birthday ... may all ur dream come true ...,ham
i forgot 2 ask ü all smth .. there be a card on da present lei ... how ? ü all want 2 write smth or sign on it ?,ham
ü give i some time to walk there .,ham
ü all write or wat ..,ham
then ü come n pick i at 530 ar ?,ham
thanx 4 send i home ...,ham
be ur lecture over ?,ham
sorry i go home first ... daddy come fetch ü later ...,ham
okie .. thanx ..,ham
will ü b go to esplanade fr home ?,ham
we confirm eat at esplanade ?,ham
7 at esplanade .. do ü mind give i a lift cos i get no car today ..,ham
ü get wat to buy tell we then ü no need to come in again .,ham
wat 's da model num of ur phone ?,ham
hmm thinking lor ...,ham
ok lor ... sony ericsson salesman ... i ask shuhui then she say quite gd 2 use so i consider ...,ham
ü say until like dat i dun buy ericsson oso can not oredi lar ...,ham
jokin only lar ... : - ) depend on which phone my father can get lor ...,ham
no need to buy lunch for i .. i eat maggi mee ..,ham
i know she call i,ham
do ü all wan 2 meet up n combine all the part ? how be da rest of da project going ?,ham
i be do da intro cover energy trend n pro n con ... brief description of nuclear fusion n oso brief history of iter n jet get abt 7 n half page ..,ham
yup i shd haf ard 10 page if i add figure ... ü all get how many pages ?,ham
that be y we haf to combine n c how lor ...,ham
cthen i thk shd b enuff .. still get conclusion n content pg n reference .. i 'll b do da content pg n cover pg ..,ham
now ? i be go out 4 dinner soon ..,ham
oh ok .. wat 's ur email ?,ham
i 've send ü my part ..,ham
i email yifeng my part oredi .. can ü get it fr he ..,ham
no need to ke qi ... ü too bored izzit y suddenly thk of this ...,ham
take care n get well soon,ham
ü no home work to do meh ...,ham
huh so late ... fr dinner ?,ham
yup i be elaborate on the safety aspect and some other issue ..,ham
oic ... then well quickly go bathe n settle down ...,ham
i be hungry buy smth home ...,ham
but i juz remember i get ta bathe my dog today ..,ham
ok lor thanx ... ü in school ?,ham
ok thanx ... take care then ...,ham
oops i thk i dun haf enuff ... i go check then tell ü ..,ham
ü only send i the content page ...,ham
wat time ü finish ?,ham
but i haf enuff space get like 4 mb ...,ham
where r e meet tmr ?,ham
oh ok no prob ..,ham
huh i ca nt thk of more oredi how many page do we have ?,ham
can ü send i a copy of da report ?,ham
i thk 50 shd be ok he say plus minus 10 .. do ü leave a line in between paragraphs ?,ham
how abt make some of the pic bigger ?,ham
nope i 'll come online now ..,ham
how r ü go to send it to me ?,ham
forgot to tell ü smth .. can ü like number the section so that it be clear ..,ham
i have nt add ü yet right ..,ham
they say ü dun haf passport or smth like dat .. or ü juz send to my email account ..,ham
hey r ü still online ? i 've finish the formatting ...,ham
can i meet ü at 5 .. as 4 where depend on where ü wan 2 in lor ..,ham
ok .. ü finish soon ?,ham
so ü 'll be submit da project tmr rite ?,ham
ok lor ... but buy wat ?,ham
or ü go buy wif he then i meet ü later can ?,ham
huh so early .. then ü have dinner outside izzit ?,ham
must come later .. i normally bathe he in da afternoon mah ..,ham
crazy ar he be married . ü like gd look guy not i . my fren like say he be korean leona 's fave but i dun thk he be . aft some think mayb most prob i 'll go .,ham
nope but i 'll b go 2 sch on fri quite early lor cos mys sis get paper in da morn : - ),ham
yar but they say get some error .,ham
if u dun drive then how i go 2 sch .,ham
yup,ham
anything ...,ham
then u drive lor .,ham
ok,ham
wat time liao where still get .,ham
gd luck 4 ur exam : - ),ham
be ur paper today in e morn or aft ?,ham
u study in sch or go home ? anyway i 'll b go 2 sch later .,ham
oh ok ..,ham
in sch but neva mind u eat 1st lor ..,ham
call i when u finish then i come n pick u.,ham
hui xin be in da lib .,ham
okie ...,ham
u wan 2 haf lunch i be in da canteen now .,ham
haf u find he ? i feel so stupid da v cam be work .,ham
where r we meeting ?,ham
i go to ur hon lab but no one be there .,ham
i 've reach sch already ...,ham
can u look 4 i in da lib i get stuff have nt finish yet .,ham
be ur change 2 da report big ? cos i 've already make change 2 da previous report .,ham
dun b sad .. it be over .. dun thk abt it already . concentrate on ur other paper k.,ham
din i tell u jus now 420,ham
i fetch yun or u fetch ?,ham
all e good 4 ur exam later .,ham
thanx 4 e brownie it be v nice ...,ham
ok i be come home now .,ham
who u talk about ?,ham
sorry send blank msg again . yup but try 2 do some serious studying now .,ham
yup but not study surfing lor . i be in e lazy mode today .,ham
i 've reach already .,ham
yup no more already ... thanx 4 printing n hand it up .,ham
ok,ham
ok i 've send u da late version of da project .,ham
mine here like all fr china then so noisy .,ham
here get lot of hair dresser fr china .,ham
all e good 4 ur drive tmr : - ),ham
he say i look pretty wif long hair wat . but i thk he be cut quite short 4 i leh .,ham
yup i thk they r e teacher say that will make my face look long . darren ask i not 2 cut too short .,ham
ok lar i double check wif da hair dresser already he say wun cut v short . he say will cut until i look nice .,ham
thanx ...,ham
sha nt disturb u anymore ... jia you ...,ham
depend on individual lor e hair dresser say pretty but my parent say look gong . u kaypoh .. i also dunno wat she collect .,ham
but i 'll b go 2 sch on mon . my sis need 2 take smth .,ham
the length be e same but e top short n i get a fringe now . i thk i be not go liao . too lazy . dun wan 2 distract u also .,ham
y dun cut too short leh . u dun like ah ? she fail . she be quite sad .,ham
i might go 2 sch . yar at e salon now v boring .,ham
be ur paper in e morn or aft tmr ?,ham
nothing . can ...,ham
shb b ok lor ... thanx ...,ham
really ... i tot ur paper end long ago ... but wat u copy jus now get use ? u happy lar ... i still haf 2 study : - (,ham
really dun bluff i leh ... u sleep early too . nite ...,ham
huh so slow i tot u reach long ago liao ... u 2 more day only i 4 more leh ...,ham
wif my family book tour package .,ham
how be ur paper ?,ham
haha mayb u 're rite ... u know i well . da feeling of be like by someone be gd lor . u fast go find one then all gal in our group attach liao .,ham
my phone,ham
aiyar hard 2 type . u later free then tell i then i call n scold n tell u.,ham
yar i want 2 scold u y but late already ... i where get zhong se qe you ? if u ask i b4 he ask i then i 'll go out w u all lor . n u still can act so real .,ham
that be y i say it be bad dat all e gal know u ... wat u do now ?,ham
u horrible gal ... u know dat i be go out wif he yest n u still come n ask i ...,ham
aiyar sorry lor forget 2 tell u ...,ham
i be meet darren ...,ham
u come 2 pick me ?,ham
can do lor ...,ham
it be ok lar . u sleep early too ... nite ...,ham
nvm take ur time .,ham
okie,ham
i also thk too fast ... xy suggest one not i . u dun wan it be ok . go 2 rain leh where get gd .,ham
nothing smse u n xy lor . sorry lor da guy neva c u in person but they sort of know u lor . so u wan 2 meet they xy ask i 2 bring u along 4 our next meeting .,ham
dunno he ju say go lido . same time 930.,ham
u know we watchin at lido ?,ham
wat time do u wan 2 meet i later ?,ham
now get tv 2 watch meh ? u no work today ?,ham
then we wait 4 u lor ... no need 2 feel bad lar ...,ham
do nothing then u not have dinner w us ?,ham
ok ...,ham
ok i also wan 2 watch e 9 pm show ...,ham
sian ... aft meeting supervisor get work 2 do liao ... u work now ?,ham
quite late lar ... ard 12 anyway i wun b drivin ...,ham
ok but tell i half an hr b4 u come i need 2 prepare .,ham
ok ...,ham
then ur sis how ?,ham
ard 515 like dat . y ?,ham
u repeat e instruction again . wat 's e road name of ur house ?,ham
ok lor ...,ham
i wake up long ago already ... dunno what other thing ?,ham
we r outside already .,ham
ok ...,ham
ok lor ...,ham
i be come home 4 dinner .,ham
sorry i din lock my keypad .,ham
wat would u like 4 ur birthday ?,ham
i be leave my house now ...,ham
ok i msg u b4 i leave my house .,ham
ok i thk i get it . then u wan i 2 come now or wat ?,ham
he like not v shock leh . cos tell shuhui be like tell leona also . like dat almost all know liao . he got ask i abt ur reaction lor .,ham
yar ... i tot u know di would happen long ago already .,ham
i thk u dun haf 2 hint in e forum already lor ... cos i tell ron n darren be go 2 tell shuhui .,ham
quite lor . but dun tell he wait he get complacent ...,ham
i dun believe u. i thk u tell he .,ham
yar he quite clever but aft many guess lor . he got ask i 2 bring but i thk darren not so willing 2 go . aiya they thk leona still not attach wat .,ham
yup . wun believe wat ? u really neva c e msg i send shuhui ?,ham
watch lor . i see a few swatch one i thk quite ok . ard 116 but i need 2nd opinion leh ...,ham
then she dun believe wat ?,ham
ron say fri leh . n he say de tai feng ca nt make reservation . but he say wait lor .,ham
y she dun believe leh ? i tot i tell she it be true already . i thk she muz c we tog then she believe .,ham
dunno dat 's wat he tell i . ok lor ...,ham
orh i tot u say she now still dun believe .,ham
cos i be out shopping wif darren ju now n i call he 2 ask wat present he wan lor . then he start guess who i be wif n he finally guess darren lor .,ham
yup i thk cine be well cos no need 2 go down 2 plaza mah .,ham
watch tv lor . nice one then i like lor .,ham
then i buy .,ham
u buy newspaper already ?,ham
no objection . my bf not come .,ham
anything lor if they all go then i go lor ...,ham
u come back 4 dinner rite ? dad ask i so i re confirm wif u ...,ham
enjoy urself tmr ...,ham
wat r u doing ?,ham
shuhui have buy ron 's present it be a swatch watch ...,ham
yeah it be jus rite ...,ham
ha ... u jus eat honey ar ? so sweet ...,ham
yar lor actually we quite fast ... cos da ge slow wat ... haha ...,ham
watch tv lor ... y she so funny we bluff her 4 wat . izzit because she thk it be impossible between us ?,ham
okie ...,ham
hey happy birthday ...,ham
dunno leh ca nt remember mayb lor . so wat time r we meet tmr ?,ham
u say leh ... of course nothing happen lar . not say v romantic jus a bit only lor . i thk e nite scenery not so nice leh .,ham
nothing but we jus tot u would ask cos u ba gua ... but we go mt faber yest ... yest jus go out already mah so today not go out ... jus call lor ...,ham
of cos can lar i be not so ba dao ok ... 1 pm lor ... y u never ask where we go ah ... i say u would ask on fri but he say u will ask today ...,ham
then u ask darren go n pick u lor ... but i oso sian tmr haf 2 meet lect ...,ham
nothing lor ... a bit bored too ... then y dun u go home early 2 sleep today ...,ham
u still have nt get urself a jacket ah ?,ham
how come u get nothing to do ?,ham
quite ok but a bit ex ... u well go eat smth now else i 'll feel guilty ...,ham
here get ur favorite oyster ... n get my favorite sashimi ... ok lar i dun say already ... wait ur stomach start rumble ...,ham
